posicion,dorsal,atleta,categoria,tiempo
Número,Nombre,Modalidad,KM,Tiempo
220,JUAN RAMON OVIEDO CHAVEZ,5,5,02:26:36
158,ULBER SANTIAGO,5,5,02:26:26
391,JUAN JOSE TORRES RAMIREZ,5,5,02:25:55
163,LIZA ADITÍ VELÁZQUEZ NEVAREZ,5,5,02:28:56
213,FLOR DE MARÍA ZELAYA VILLASEÑOR,5,5,02:28:27
339,EDGAR ZAMORA NAVA,5,5,02:24:18
216,JOSE CARLOS AGUIRRE SILVA,5,5,02:23:44
247,MIGUEL ANGEL ORTIZ DIRCIO,5,5,02:22:43
241,GUILLERMO BERNAL GONZÁLEZ,5,5,02:22:39
18,DEISY VIRIDIANA JIMÉNEZ CARRANCO,5,5,02:25:58
56,ROGELIO RÍOS OSORNIO,5,5,02:22:09
116,ROBERTO COCA TREJO,5,5,02:21:45
300,HUMBERTO GARCÍA PICAZO,5,5,02:21:26
70,XIMENA PAOLA MORALES ROMERO,5,5,02:21:12
71,CELIA ELVIRA MARTÍNEZ FLORES,5,5,02:24:15
73,HUGO ADRIÁN HERNÁNDEZ GOMEZ,5,5,02:20:29
354,FERNANDO MARTINEZ SANCHEZ,5,5,02:20:11
378,MARCO ESTEBAN FLORES PALACIOS,5,5,02:19:50
356,AMAIRANI DEYANIRA MENA CASTAÑEDA,5,5,02:23:09
281,MILTON ARIEL NINIZ PAÑEDA,5,5,02:19:15
239,VANESSA SHANTTAL RUIZ LICEAGA,5,5,02:21:58
50,VERÓNICA LIZETH ABARCA RUIZ,5,5,02:21:40
152,PAOLA VIRIDIANA MARTÍNEZ HERNÁNDEZ,5,5,02:21:11
162,EDGAR IGNACIO GUTIÉRREZ REYES,5,5,02:17:00
15,ANGELA NAVA PICHARDO,5,5,02:20:40
111,SUSANA EDITH LOPEZ MEDRANO,5,5,02:20:29
353,ALEJANDRO LÓPEZ LAYNA,5,5,02:16:23
337,ESMERALDA JACQUELINE CERÓN CEPEDA,5,5,02:19:27
261,ALMA ROSA MORALES FLORES,5,5,02:18:54
275,CLAUDIA ADRIANA TRUJILLO APARICIO,5,5,02:18:06
328,KAREN IRENE PÉREZ MITZI,5,5,02:18:06
109,MARIA DE LA CRUZ ESPINOZA GARCIA,5,5,02:17:48
262,KARLA JAQUELINE NUÑEZ DURAN,5,5,02:17:44
123,STEPHANY PAREDES MARTINEZ,5,5,02:17:20
102,ISABEL ALMANZA ONTIVEROS,5,5,02:16:27
119,ANGÉLICA GONZÁLEZ HERNANDEZ,5,5,02:16:27
124,NADIA KARLA DUEÑAS URBINA,5,5,02:16:27
96,NANCY NOEMI MARTINEZ COYOTECATL,5,5,02:16:27
93,EDUARDO MORENO LUNA,5,5,02:12:33
309,DAVID FELDMAN SILVA,5,5,02:11:13
121,MARLEN BERENICE ALVAREZ SANCHEZ,5,5,02:14:51
117,JOAQUIN GONZALEZ DUARTE,5,5,02:10:17
307,LEONEL ALVAREZ OSORIO,5,5,02:10:10
330,GERARDO COSCATL CABRERA,5,5,02:09:15
379,ERIKA PADILLA LUNA,5,5,02:12:58
177,HECTOR SUAREZ AVILA,5,5,02:09:01
76,BRENDA SÁNCHEZ ARCE,5,5,02:12:21
375,ALISSON MAILEN MARTINEZ ZAVALA,5,5,02:08:24
384,GRISELDA VALERIO MARTÍNEZ,5,5,02:11:52
91,JUAN JOSÉ HERNÁNDEZ HERNÁNDEZ,5,5,02:08:04
245,JUAN CARLOS HERNÁNDEZ REYES,5,5,02:07:34
253,FLOR MARÍA DE GUADALUPE SARABIA RANGEL,5,5,02:10:52
287,RITA CECILIA MENA SALAZAR,5,5,02:10:50
237,JOSUE NAHUM DE LEON RUIZ,5,5,02:07:01
81,SILVIA PAOLA BOLAÑOS GALVAN,5,5,02:08:15
297,LILIA MAITRETT GÓMEZ,5,5,02:07:47
173,MANUEL AGUSTÍN MARES CALZADA,5,5,02:03:46
110,MA. DEL ROSARIO PEREZ HERNANDEZ,5,5,02:07:25
327,DIANA GARCÍA MITRE,5,5,02:07:09
125,KARLA IVONNE HERNANDEZ LOPEZ,5,5,02:07:06
113,MA. ELIZABETH PORRAS MARTINEZ,5,5,02:06:34
304,SANDRA ELENA GUTIÉRREZ HERNÁNDEZ,5,5,02:05:42
358,GRICEYDA ROSAS BETANCOURT,5,5,02:05:35
126,ALEJANDRO MARTINEZ SOLACHE,5,5,02:01:42
180,JUAN CARLOS TORRES ALVAREZ,5,5,02:00:59
326,ELIA LILIANA ORTIZ VAZQUEZ,5,5,02:04:31
87,ALEXA CELESTE ÁVILA HUERTA,5,5,02:03:58
122,MARIA ELIZABETH GONZALEZ SOLARES,5,5,02:02:40
311,SIMON VINCENT BRUNET,5,5,01:58:46
99,TERESA HERRERA MAYA,5,5,02:02:23
319,JAIME ESPINOZA H LUZ.,5,5,01:58:32
246,ROLANDO MARCELINO RAMÍREZ,5,5,01:58:15
136,SOFIA CATALINA KOHASHI VELAZQUEZ,5,5,02:01:51
98,PEDRO RUIZ TAPIA,5,5,01:58:06
47,JEANNET QUIROZ BAUTISTA,5,5,02:01:34
11,GABRIELA ANTONIA SERRANO LÓPEZ,5,5,02:01:33
286,CARLOS RAMÓN CASTAÑEDA GODOY,5,5,01:57:08
164,ENRIQUE SANTIBÁÑEZ CORTÉS,5,5,01:57:04
118,MAGNOLIA MARGARITA QUEZADA RIVERA,5,5,02:00:41
385,PEDRO ÁNGEL LOPEZ AGUILAR,5,5,01:56:37
202,ANANDA SAUCEDO CASTAÑEDA,5,5,02:00:20
312,ERIKA MALDONADO MARTINEZ,5,5,01:59:53
134,MARÍA DOLORES CAMPUZANO PERALES,5,5,01:59:53
203,BERENICE JUÁREZ GÓMEZ,5,5,01:59:29
301,ISAÍAS SOLIS CASTRO,5,5,01:55:40
133,DAVID ADRIAN MARTINEZ ALVARADO,5,5,01:55:13
43,JUAN IRVING QUIROZ FALCÓN,5,5,01:55:06
355,CELINE GAGNON,5,5,01:58:43
244,BALTAZAR MATADAMA QUIROZ,5,5,01:54:58
49,MONICA GRISELL ABARCA RUIZ,5,5,01:58:37
132,DARIO ARMANDO MARTINEZ ALVARADO,5,5,01:58:29
278,JOSE ANTONIO FLORES BUSTAMANTE,5,5,01:54:39
303,CRISTINA FERNÁNDEZ GÓMEZ DEL CAMPO,5,5,01:58:01
38,MARLEN ARELY ROMO MARTINEZ,5,5,01:57:35
352,ISADORA GALEANA MAGAÑA,5,5,01:57:23
215,MARIA ESTHER SANTOYO PEREZ,5,5,01:57:03
371,DOMINIQUE D DOMINGUEZ DORANTES,5,5,01:56:58
299,MARIA DE LOS ANGELES SANTOS GORDILLO,5,5,01:56:41
95,MARÍA GUADALUPE VICTORIA GUZMÁN,5,5,01:56:05
306,MARIA FERNANDA AGUILAR BELLO,5,5,01:56:03
130,SANDRA MARIA RANGEL ROSAS,5,5,01:55:37
41,SALVADOR VILLALVAZO UGALDE,5,5,01:51:04
227,EDUARDO VEGA MARRUFO,5,5,01:50:40
210,ALONDRA ISLAS MARURE,5,5,01:54:24
194,GABRIEL PAEZ SANDOVAL,5,5,01:50:06
280,FATIMA FLORES PATIÑO,5,5,01:53:42
283,MARIA DEL PILAR RENDON JIMENEZ,5,5,01:53:23
120,RICARDO BLANCO GONZALEZ,5,5,01:49:19
252,SERGIO DEL OLMO AGUILAR,5,5,01:48:22
276,GABRIELA JIMENEZ GUERRERO,5,5,01:51:22
129,AGUSTIN LOPEZ ACUÑA,5,5,01:46:52
169,JUAN PABLO FERNÁNDEZ FERNÁNDEZ,5,5,01:46:42
320,CECILIA ALEJANDRA STEINER MARAÑÓN,5,5,01:49:50
363,PABLO CALIXTO MENDOZA,5,5,01:45:24
101,MARIANA PORRAS SERRANO,5,5,01:49:02
53,KARLA GABRIELA AGUILERA MAYERSTEIN,5,5,01:48:51
282,SARA SOLEDAD RENDON,5,5,01:48:48
357,PEDRO ELESBAND SERRANO FARIAS,5,5,01:45:03
103,ARTURO ISRAEL JUÁREZ RODRIGUEZ,5,5,01:44:59
233,LEONARDO ANTONIO RAMIREZ GARCÍA,5,5,01:44:48
321,MARIA ANTELIA PINEDA PACHECO,5,5,01:48:30
381,ERIK NAHÚM MINOR HIDALGO,5,5,01:42:48
277,PAMELA VALENCIA RAMIREZ,5,5,01:46:09
259,ALFONS0 LOZANO LOZANO,5,5,01:41:58
387,CESAR HERNÁNDEZ OCHOA,5,5,01:41:01
114,CÉSAR GAMBOA TREVIÑO,5,5,01:35:41
188,JORGE OCTAVIO FERNANDEZ GARCÍA,5,5,01:34:10
128,ANGELICA LANDA BECERRIL,5,5,01:37:37
